cell_type,sex,ann_level_4,0
smooth muscle cell,female,Hillock-like,0
smooth muscle cell,female,Interstitial macrophages,0
smooth muscle cell,female,Ionocyte,0
smooth muscle cell,female,Migratory DCs,0
smooth muscle cell,female,Multiciliated,0
smooth muscle cell,female,NK cells,0
smooth muscle cell,female,Neuroendocrine,0
smooth muscle cell,female,Non-classical monocytes,0
smooth muscle cell,female,None,152
smooth muscle cell,female,Peribronchial fibroblasts,0
smooth muscle cell,female,Pericytes,0
smooth muscle cell,female,Plasma cells,0
smooth muscle cell,female,Plasmacytoid DCs,0
smooth muscle cell,female,SMG duct,0
smooth muscle cell,female,SMG mucous,0
smooth muscle cell,female,SMG serous,0
smooth muscle cell,female,Subpleural fibroblasts,0
smooth muscle cell,female,Suprabasal,0
smooth muscle cell,female,T cells proliferating,0
smooth muscle cell,female,Transitional Club-AT2,0
smooth muscle cell,female,Tuft,0
smooth muscle cell,male,AT2 proliferating,0
smooth muscle cell,male,Adventitial fibroblasts,0
smooth muscle cell,male,Alveolar fibroblasts,0
smooth muscle cell,male,Alveolar macrophages,0
smooth muscle cell,male,B cells,0
smooth muscle cell,male,Basal resting,0
smooth muscle cell,male,CD4 T cells,0
smooth muscle cell,male,CD8 T cells,0
smooth muscle cell,male,Classical monocytes,0
smooth muscle cell,male,Club,0
smooth muscle cell,male,DC1,0
smooth muscle cell,male,DC2,0
smooth muscle cell,male,Deuterosomal,0
smooth muscle cell,male,EC aerocyte capillary,0
smooth muscle cell,male,EC general capillary,0
smooth muscle cell,male,EC venous pulmonary,0
smooth muscle cell,male,EC venous systemic,0
smooth muscle cell,male,Goblet,0
smooth muscle cell,male,Hillock-like,0
smooth muscle cell,male,Interstitial macrophages,0
smooth muscle cell,male,Ionocyte,0
smooth muscle cell,male,Migratory DCs,0
smooth muscle cell,male,Multiciliated,0
smooth muscle cell,male,NK cells,0
smooth muscle cell,male,Neuroendocrine,0
smooth muscle cell,male,Non-classical monocytes,0
smooth muscle cell,male,None,404
smooth muscle cell,male,Peribronchial fibroblasts,0
smooth muscle cell,male,Pericytes,0
smooth muscle cell,male,Plasma cells,0
smooth muscle cell,male,Plasmacytoid DCs,0
smooth muscle cell,male,SMG duct,0
smooth muscle cell,male,SMG mucous,0
smooth muscle cell,male,SMG serous,0
smooth muscle cell,male,Subpleural fibroblasts,0
smooth muscle cell,male,Suprabasal,0
smooth muscle cell,male,T cells proliferating,0
smooth muscle cell,male,Transitional Club-AT2,0
smooth muscle cell,male,Tuft,0
B cell,female,AT2 proliferating,0
B cell,female,Adventitial fibroblasts,0
B cell,female,Alveolar fibroblasts,0
B cell,female,Alveolar macrophages,0
B cell,female,B cells,1639
B cell,female,Basal resting,0
B cell,female,CD4 T cells,0
B cell,female,CD8 T cells,0
B cell,female,Classical monocytes,0
B cell,female,Club,0
B cell,female,DC1,0
B cell,female,DC2,0
B cell,female,Deuterosomal,0
B cell,female,EC aerocyte capillary,0
B cell,female,EC general capillary,0
B cell,female,EC venous pulmonary,0
B cell,female,EC venous systemic,0
B cell,female,Goblet,0
B cell,female,Hillock-like,0
B cell,female,Interstitial macrophages,0
B cell,female,Ionocyte,0
B cell,female,Migratory DCs,0
B cell,female,Multiciliated,0
B cell,female,NK cells,0
B cell,female,Neuroendocrine,0
