cell_type,sex,ann_level_2,0
capillary endothelial cell,female,Mesothelium,0
capillary endothelial cell,female,Myeloid,0
capillary endothelial cell,female,Smooth muscle,0
capillary endothelial cell,female,Submucosal Gland,0
capillary endothelial cell,male,Airway epithelium,0
capillary endothelial cell,male,Alveolar epithelium,0
capillary endothelial cell,male,Blood vessels,18770
capillary endothelial cell,male,Fibroblast lineage,0
capillary endothelial cell,male,Hematopoietic stem cells,0
capillary endothelial cell,male,Lymphatic EC,0
capillary endothelial cell,male,Lymphoid,0
capillary endothelial cell,male,Mesothelium,0
capillary endothelial cell,male,Myeloid,0
capillary endothelial cell,male,Smooth muscle,0
capillary endothelial cell,male,Submucosal Gland,0
ciliated columnar cell of tracheobronchial tree,female,Airway epithelium,12409
ciliated columnar cell of tracheobronchial tree,female,Alveolar epithelium,0
ciliated columnar cell of tracheobronchial tree,female,Blood vessels,0
ciliated columnar cell of tracheobronchial tree,female,Fibroblast lineage,0
ciliated columnar cell of tracheobronchial tree,female,Hematopoietic stem cells,0
ciliated columnar cell of tracheobronchial tree,female,Lymphatic EC,0
